feature,importance
weighted_severity_raw,0.5693926560170868
risk_score,0.3445890485560083
theft,0.01430747423367712
other_theft,0.014139226693757887
rolling_3yr_risk_score,0.0066551821119091945
total_crime,0.0063211611151950805
total_ipc_crimes,0.005995038173237177
previous_year_risk_score,0.004805040462864914
cheating,0.0033368051035299728
arson,0.0028544787411617324
murder,0.0024590064929028237
burglary,0.002195105952872272
hurt_grevious_hurt,0.0018896964694610917
cruelty_by_husband_or_his_relatives,0.0014461646414973956
other_ipc_crimes,0.0013972241703560564
causing_death_by_negligence,0.0012165693074910264
rolling_3yr_total_crime,0.0010882042145114435
auto_theft,0.0009949954072327512
crime_growth_rate,0.0009944099824575419
counterfieting,0.000915473648444936
previous_year_total_crime,0.0008680515257072629
rape,0.0008339177061654842
insult_to_modesty_of_women,0.0008321022479829748
attempt_to_murder,0.0008233431062386435
criminal_breach_of_trust,0.0008194566173593773
robbery,0.000787033590898045
other_rape,0.0007837666398884288
preparation_and_assembly_for_dacoity,0.0007722577791809793
dacoity,0.0007392875386978088
culpable_homicide_not_amounting_to_murder,0.0007321666898247773
assault_on_women_with_intent_to_outrage_her_modesty,0.0007010675326809898
riots,0.000629645202763865
kidnapping_&_abduction,0.0006116435489867116
kidnapping_and_abduction_of_others,0.0005682482189675802
dowry_deaths,0.0005438483238815182
kidnapping_and_abduction_of_women_and_girls,0.0005261717143766787
district_encoded,0.0005146997968662162
year,0.0004974509803235234
state_encoded,0.0003743573575575735
importation_of_girls_from_foreign_countries,4.6444267005130683e-05
custodial_rape,2.0781189909023244e-06
attempt_to_commit_culpable_homicide,0.0
attempt_to_commit_murder,0.0
custodial_other_rape,0.0
rape_other_than_custodial,0.0
rape_gang_rape,0.0
custodial_gang_rape,0.0
states_uts,0.0
making_preparation_and_assembly_for_committing_dacoity,0.0
other_dacoity,0.0
dacoity_with_murder,0.0
other_kidnapping,0.0
kidnapping_&_abduction_of_women_to_compel_her_for_marriage,0.0
kidnapping_for_ransom,0.0
kidnapping_&_abduction_in_order_to_murder,0.0
kidnapping_&_abduction_total,0.0
attempt_to_commit_rape,0.0
rape_others,0.0
criminal_trespass_burglary,0.0
criminal_trespass_or_burglary,0.0
unlawful_assembly,0.0
riots_communal,0.0
house_trespass_&_house_breaking,0.0
other_thefts,0.0
counterfeiting,0.0
counterfeit_offences_related_to_counterfeit_coin,0.0
counterfeiting_government_stamp,0.0
counterfeit_currency_&_bank_notes,0.0
counterfeiting_currency_notes_bank_notes,0.0
using_forged_or_counterfeiting_currency_bank_notes,0.0
riots_industrial,0.0
riots_political,0.0
riots_caste_conflict,0.0
riots_sc_sts_vs_non_scs_sts,0.0
riots_other_caste_conflict,0.0
riots_agrarian,0.0
riots_students,0.0
riots_sectarian,0.0
riots_others,0.0
forgery,0.0
voyeurism,0.0
assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe,0.0
sexual_harassment,0.0
attempt_to_acid_attack,0.0
acid_attack,0.0
hurt,0.0
grievous_hurt,0.0
making_or_using_documents_resembling_currency,0.0
making_or_possessing_materials_for_forged_currency_bank_notes,0.0
possession_of_forged_or_counterfeiting_currency_bank_notes,0.0
stalking,0.0
other_assault_on_women,0.0
other_places_related_to_work,0.0
in_public_transport_system,0.0
insult_to_the_modesty_of_women,0.0
at_office_premises,0.0
imputation__assertions_prejudicial_to_national_integration,0.0
promoting_enmity_between_different_groups,0.0
offences_promoting_enmity_between_different_groups,0.0
other_offences_against_state,0.0
sedition,0.0
offences_against_state,0.0
deaths_due_to_other_causes,0.0
deaths_due_to_negligent_driving_act,0.0
importation_of_girls_from_foreign_country,0.0
places_other_than_231__232_&_233,0.0
unnatural_offence,0.0
total_cognizable_ipc_crimes,0.0
disclosure_of_identity_of_victims,0.0
extortion,0.0
incidence_of_rash_driving,0.0
humantrafficking,0.0
