feature,importance
severity_sum_30d,0.4849986693827855
week_of_year,0.09399616326104486
zone_encoded,0.0935419412815788
crime_count_30d,0.07715082541852901
night_crime_count_30d,0.052806609614865524
month,0.046152683385240756
crime_count_14d,0.037686873477821334
severity_sum_7d,0.03332218195543024
daily_risk_score,0.02393893039515826
night_crime_count_7d,0.01628927074185155
crime_count_7d,0.01586909191351056
day_of_week,0.015617500631711953
crime_count_1d,0.006838531470743782
is_weekend,0.0017907270697278869
