file_name,status,source,destination
01_District_wise_crimes_committed_IPC_2001_2012.csv,not_found,,
01_District_wise_crimes_committed_IPC_2013.csv,copied,datasets\raw\01_District_wise_crimes_committed_IPC_2013.csv,datasets\selected\01_District_wise_crimes_committed_IPC_2013.csv
01_District_wise_crimes_committed_IPC_2014.csv,copied,datasets\raw\01_District_wise_crimes_committed_IPC_2014.csv,datasets\selected\01_District_wise_crimes_committed_IPC_2014.csv
chicago_dataset.csv,not_found,,
42_District_wise_crimes_committed_against_women_2001_2012.csv,copied,datasets\raw\42_District_wise_crimes_committed_against_women_2001_2012.csv,datasets\selected\42_District_wise_crimes_committed_against_women_2001_2012.csv
42_District_wise_crimes_committed_against_women_2013.csv,copied,datasets\raw\42_District_wise_crimes_committed_against_women_2013.csv,datasets\selected\42_District_wise_crimes_committed_against_women_2013.csv
42_District_wise_crimes_committed_against_women_2014.csv,copied,datasets\raw\42_District_wise_crimes_committed_against_women_2014.csv,datasets\selected\42_District_wise_crimes_committed_against_women_2014.csv
03_District_wise_crimes_committed_against_children_2001_2012.csv,copied,datasets\raw\03_District_wise_crimes_committed_against_children_2001_2012.csv,datasets\selected\03_District_wise_crimes_committed_against_children_2001_2012.csv
03_District_wise_crimes_committed_against_children_2013.csv,copied,datasets\raw\03_District_wise_crimes_committed_against_children_2013.csv,datasets\selected\03_District_wise_crimes_committed_against_children_2013.csv
03_District_wise_crimes_committed_against_children_2014.csv,not_found,,
