cluster_id,center_latitude,center_longitude,crime_count,dominant_crime_type,average_severity,raw_score,sample_area,risk_score,risk_level
H-0000,41.851196,-87.658887,90569,THEFT,3.05,276248.0,11,100.0,red
H-0001,41.782031,-87.695009,3331,BATTERY,3.06,10190.0,8,3.67,green
H-0002,41.694041,-87.621299,2317,BATTERY,3.09,7149.0,5,2.57,green
H-0010,41.859627,-87.665597,2091,THEFT,3.01,6301.0,12,2.26,green
H-0009,41.961951,-87.716648,1820,THEFT,2.99,5446.0,17,1.95,green
H-0006,41.928202,-87.704969,944,THEFT,2.99,2827.0,14,1.0,green
H-0003,41.996199,-87.685869,624,THEFT,2.99,1865.0,24,0.65,green
H-0011,41.656182,-87.602044,510,BATTERY,3.14,1600.0,5,0.56,green
H-0014,41.723407,-87.628332,485,BATTERY,3.08,1494.0,6,0.52,green
H-0021,41.996105,-87.699664,382,THEFT,3.05,1165.0,24,0.4,green
H-0036,41.673783,-87.634989,381,BATTERY,3.04,1157.0,5,0.4,green
H-0024,41.804098,-87.723226,399,THEFT,2.93,1168.0,8,0.4,green
H-0012,41.922387,-87.735603,374,BATTERY,3.05,1142.0,25,0.39,green
H-0015,41.713632,-87.642958,355,MOTOR VEHICLE THEFT,3.04,1078.0,22,0.37,green
H-0005,41.835423,-87.646885,346,THEFT,3.02,1045.0,9,0.36,green
H-0008,41.979124,-87.692311,345,THEFT,3.05,1052.0,20,0.36,green
H-0026,41.795059,-87.631398,332,THEFT,3.08,1023.0,2,0.35,green
H-0017,41.681962,-87.642676,323,BATTERY,3.07,991.0,5,0.34,green
H-0054,41.734687,-87.586083,315,THEFT,3.08,971.0,4,0.33,green
H-0041,41.931254,-87.6832,322,THEFT,2.98,961.0,14,0.33,green
H-0039,41.807507,-87.684594,288,THEFT,3.09,891.0,9,0.3,green
H-0048,41.926142,-87.78485,279,THEFT,3.0,838.0,25,0.28,green
H-0025,41.967054,-87.688641,261,THEFT,2.9,757.0,19,0.25,green
H-0016,41.723196,-87.616652,253,MOTOR VEHICLE THEFT,2.92,738.0,6,0.25,green
H-0037,41.979722,-87.668745,237,THEFT,2.95,699.0,20,0.23,green
H-0020,42.014599,-87.690479,232,THEFT,3.0,695.0,24,0.23,green
H-0023,41.941117,-87.668824,222,THEFT,2.95,654.0,19,0.21,green
H-0018,41.976549,-87.905027,203,THEFT,2.92,592.0,16,0.19,green
H-0051,41.690164,-87.66626,184,THEFT,3.01,554.0,22,0.18,green
H-0066,41.818648,-87.691186,175,BATTERY,3.14,550.0,9,0.18,green
H-0065,41.680887,-87.661899,168,THEFT,3.1,521.0,22,0.17,green
H-0035,41.708284,-87.649407,180,MOTOR VEHICLE THEFT,2.94,529.0,22,0.17,green
H-0067,41.718204,-87.569155,176,CRIMINAL DAMAGE,3.03,533.0,4,0.17,green
H-0040,41.788968,-87.741301,192,THEFT,2.68,515.0,8,0.16,green
H-0004,41.721618,-87.576728,155,BATTERY,3.1,481.0,4,0.15,green
H-0019,41.754479,-87.741474,151,THEFT,2.99,452.0,8,0.14,green
H-0031,41.810956,-87.694879,141,BATTERY,3.13,441.0,9,0.14,green
H-0022,41.655103,-87.615783,143,MOTOR VEHICLE THEFT,3.04,435.0,5,0.14,green
H-0013,41.969292,-87.762881,135,BATTERY,3.15,425.0,16,0.13,green
H-0062,41.968185,-87.69788,150,CRIMINAL DAMAGE,2.87,431.0,20,0.13,green
H-0087,41.983317,-87.711884,144,THEFT,2.98,429.0,17,0.13,green
H-0050,41.70231,-87.56379,145,BATTERY,2.97,431.0,4,0.13,green
H-0029,41.867536,-87.772792,119,BATTERY,3.34,397.0,15,0.12,green
